sateid,date,pro,bit1,bit2,bit3,bit4,bit5,bit6,bit7,bit8
C28,2020-06-20-10-55-00,21936311.34,6,3,1,1,3,4,4,8
G02,2020-06-20-10-55-00,21465916.26,5,9,1,6,2,5,8,7
G05,2020-06-20-10-55-00,20952916.88,2,9,1,6,8,8,3,7
G06,2020-06-20-10-55-00,24079682.96,9,6,8,2,9,6,1,6
G13,2020-06-20-10-55-00,20479697.03,9,6,9,7,0,3,1,8
G15,2020-06-20-10-55-00,21596878.42,6,8,7,8,4,2,2,7
G29,2020-06-20-10-55-00,21544343.41,4,3,4,3,4,0,6,7
G30,2020-06-20-10-55-00,24283254.66,3,2,5,4,6,6,4,6
C01,2020-06-20-11-00-00,37801137.07,1,1,3,7,0,7,0,6
C02,2020-06-20-11-00-00,37481280.91,1,2,8,0,9,0,6,6
C03,2020-06-20-11-00-00,36496124.98,6,1,2,4,9,7,7,7
C04,2020-06-20-11-00-00,38691733.77,1,7,3,3,7,6,6,6
C05,2020-06-20-11-00-00,39541887.71,1,8,8,7,7,1,1,5
C06,2020-06-20-11-00-00,36412591.23,2,5,9,1,2,3,4,7
C08,2020-06-20-11-00-00,36314955.82,4,9,5,5,8,2,0,7
C09,2020-06-20-11-00-00,38029565.18,9,5,6,5,1,8,0,6
C13,2020-06-20-11-00-00,36311671.02,1,6,7,1,0,2,3,7
C14,2020-06-20-11-00-00,25042877.45,2,8,7,7,4,4,5,5
C16,2020-06-20-11-00-00,36861830.33,1,8,3,0,3,2,8,7
C24,2020-06-20-11-00-00,27004798.13,4,7,9,8,1,2,5,5
C27,2020-06-20-11-00-00,22571331.8,1,3,3,1,7,9,7,8
C28,2020-06-20-11-00-00,22017400.22,7,4,0,0,2,1,9,8
G02,2020-06-20-11-00-00,21521533.34,1,5,3,3,3,3,6,7
G05,2020-06-20-11-00-00,21021843.73,1,8,4,3,7,3,4,8
G06,2020-06-20-11-00-00,24228829.38,8,8,2,9,3,7,5,6
G13,2020-06-20-11-00-00,20403209.25,3,2,0,9,2,5,0,8
G15,2020-06-20-11-00-00,21433741.41,3,7,4,1,4,0,6,7
G29,2020-06-20-11-00-00,21478959.82,8,9,5,9,8,2,0,7
G30,2020-06-20-11-00-00,24240029.81,0,0,2,9,8,1,3,6
C01,2020-06-20-11-05-00,37801028.07,1,0,2,8,0,7,0,6
C02,2020-06-20-11-05-00,37480656.96,0,6,5,6,9,6,1,6
C03,2020-06-20-11-05-00,36497914.23,7,9,1,4,2,2,7,7
C04,2020-06-20-11-05-00,38693160.13,3,1,6,0,1,2,5,6
C05,2020-06-20-11-05-00,39541483.58,1,4,8,3,5,7,8,5
C06,2020-06-20-11-05-00,36371007.43,1,0,0,7,4,3,0,7
C08,2020-06-20-11-05-00,36289868.67,9,8,6,8,6,7,2,7
C09,2020-06-20-11-05-00,37962589.21,2,5,8,9,2,1,1,6
C13,2020-06-20-11-05-00,36276239.87,6,2,3,9,8,6,7,7
C14,2020-06-20-11-05-00,25189298.66,9,2,9,8,6,5,6,5
C16,2020-06-20-11-05-00,36810051.88,0,0,5,1,8,8,3,7
C24,2020-06-20-11-05-00,26925892.09,5,8,9,2,0,9,4,5
C25,2020-06-20-11-05-00,26658521.78,8,5,2,1,7,8,1,4
C27,2020-06-20-11-05-00,22481364.23,1,3,6,4,2,3,4,8
C28,2020-06-20-11-05-00,22106872.18,6,8,7,2,1,8,0,8
G02,2020-06-20-11-05-00,21583860.95,3,8,6,0,9,4,5,7
G05,2020-06-20-11-05-00,21093617.25,3,6,1,7,2,5,0,8
G06,2020-06-20-11-05-00,24381981.12,1,9,8,1,1,1,7,6
G13,2020-06-20-11-05-00,20337648.21,7,6,4,8,2,1,1,8
G15,2020-06-20-11-05-00,21278174.3,8,1,7,4,2,9,7,7
G29,2020-06-20-11-05-00,21424722.73,4,7,2,2,7,3,4,7
G30,2020-06-20-11-05-00,24204413.7,4,4,1,3,6,9,5,6
C01,2020-06-20-11-10-00,37800901.31,0,9,0,1,3,0,5,6
C02,2020-06-20-11-10-00,37480081.06,0,0,8,1,0,5,5,6
C03,2020-06-20-11-10-00,36499735.28,9,7,3,5,2,8,1,7
C04,2020-06-20-11-10-00,38694585.55,4,5,8,5,5,4,7,6
C05,2020-06-20-11-10-00,39541115.06,1,1,1,5,0,6,3,5
C06,2020-06-20-11-10-00,36331882.67,1,8,8,2,6,7,2,7
C08,2020-06-20-11-10-00,36265415.14,5,4,1,5,1,4,1,7
C09,2020-06-20-11-10-00,37897411.59,7,4,1,1,5,8,6,6
C13,2020-06-20-11-10-00,36240684.76,0,6,8,4,7,5,8,7
C14,2020-06-20-11-10-00,25334892.26,4,8,9,2,2,5,8,5
C16,2020-06-20-11-10-00,36760809.9,0,8,0,9,8,9,8,7
C25,2020-06-20-11-10-00,26534630.98,4,6,3,0,9,7,7,4
C27,2020-06-20-11-10-00,22399279.49,9,2,7,9,4,9,2,8
C28,2020-06-20-11-10-00,22204546.07,4,5,4,6,0,7,0,8
G02,2020-06-20-11-10-00,21653014.21,3,0,1,4,2,1,1,7
G05,2020-06-20-11-10-00,21168066.75,8,0,6,6,7,5,0,7
G06,2020-06-20-11-10-00,24539027.57,9,0,2,7,5,7,0,5
G13,2020-06-20-11-10-00,20283193.39,3,1,9,3,3,9,1,8
G15,2020-06-20-11-10-00,21130536.63,0,5,3,6,6,3,3,7
G29,2020-06-20-11-10-00,21381832,1,8,3,2,0,0,0,7
G30,2020-06-20-11-10-00,24176723.26,6,7,2,3,2,5,8,6
C01,2020-06-20-11-15-00,37800757.65,0,7,5,7,6,4,8,6
C02,2020-06-20-11-15-00,37479554.36,9,5,5,4,3,5,9,6
C03,2020-06-20-11-15-00,36501586.66,1,5,8,6,6,6,4,7
C04,2020-06-20-11-15-00,38696006.7,6,0,0,6,6,9,5,6
C05,2020-06-20-11-15-00,39540781.12,0,7,8,1,1,1,7,5
C06,2020-06-20-11-15-00,36295215.36,5,2,1,5,3,5,9,7
C08,2020-06-20-11-15-00,36241706.06,1,7,0,6,0,5,5,7
C09,2020-06-20-11-15-00,37834088.83,4,0,8,8,8,2,8,6
C13,2020-06-20-11-15-00,36205101.17,5,1,0,1,1,7,2,7
C14,2020-06-20-11-15-00,25479512.26,9,5,1,2,2,5,8,5
C16,2020-06-20-11-15-00,36714115.75,4,1,1,5,7,5,0,7
C24,2020-06-20-11-15-00,26782041.34,2,0,4,1,3,4,4,4
C25,2020-06-20-11-15-00,26409488.81,9,4,8,8,8,0,5,5
C27,2020-06-20-11-15-00,22325386.83,5,3,8,6,8,2,8,8
C28,2020-06-20-11-15-00,22310209.38,0,2,0,9,3,7,5,8
G02,2020-06-20-11-15-00,21729083.74,9,0,8,3,7,4,2,7
G05,2020-06-20-11-15-00,21245035.15,5,0,3,5,1,4,8,7
G06,2020-06-20-11-15-00,24699840.92,9,8,4,0,9,2,2,5
G13,2020-06-20-11-15-00,20239975.09,9,9,7,5,0,8,6,8
G15,2020-06-20-11-15-00,20991163.82,1,1,6,3,8,2,0,8
G18,2020-06-20-11-15-00,24400135.42,0,1,3,5,4,2,2,4
G29,2020-06-20-11-15-00,21350437.15,0,4,3,7,1,4,8,7
G30,2020-06-20-11-15-00,24157241.59,7,2,4,1,5,8,6,6
C01,2020-06-20-11-20-00,37800596.71,0,5,9,6,7,1,1,6
C02,2020-06-20-11-20-00,37479075.63,9,0,7,5,6,2,5,6
C03,2020-06-20-11-20-00,36503468.64,3,4,6,8,6,4,1,7
C04,2020-06-20-11-20-00,38697424.57,7,4,2,4,5,7,0,6
C05,2020-06-20-11-20-00,39540481.64,0,4,8,1,6,4,1,5
C06,2020-06-20-11-20-00,36261000.58,1,0,0,0,5,7,8,7
C08,2020-06-20-11-20-00,36218853.59,8,8,5,3,5,8,6,7
C09,2020-06-20-11-20-00,37772671.48,2,6,7,1,4,8,4,6
C13,2020-06-20-11-20-00,36169586.41,9,5,8,6,4,1,4,7
C14,2020-06-20-11-20-00,25623025.77,3,0,2,5,7,7,3,5
C16,2020-06-20-11-20-00,36669976.72,9,9,7,6,7,1,9,8
C24,2020-06-20-11-20-00,26717876.26,7,8,7,6,2,5,8,5
C25,2020-06-20-11-20-00,26283527.87,3,5,2,7,8,6,7,6
C27,2020-06-20-11-20-00,22259971.96,9,9,7,1,9,6,1,8
C28,2020-06-20-11-20-00,22423621.52,3,6,2,1,5,2,3,8
G02,2020-06-20-11-20-00,21812135.09,2,1,3,5,0,9,4,7
G05,2020-06-20-11-20-00,21324379.16,4,3,7,9,1,5,6,8
G06,2020-06-20-11-20-00,24864273.61,4,2,7,3,6,0,9,5
G13,2020-06-20-11-20-00,20208072.07,8,0,7,2,0,7,0,8
G15,2020-06-20-11-20-00,20860362.16,0,3,6,2,1,5,6,8
G18,2020-06-20-11-20-00,24221938.44,1,9,3,8,4,3,8,5
G29,2020-06-20-11-20-00,21330636.66,0,6,3,6,6,5,6,7
G30,2020-06-20-11-20-00,24146214.9,6,2,1,4,8,9,8,5
C01,2020-06-20-11-25-00,37800417.91,0,4,1,7,9,0,6,6
C02,2020-06-20-11-25-00,37478645.38,8,6,4,5,3,8,3,6
C03,2020-06-20-11-25-00,36505380.41,5,3,8,0,4,1,4,7
C04,2020-06-20-11-25-00,38698837.94,8,8,3,7,9,3,8,6
C05,2020-06-20-11-25-00,39540216.91,0,2,1,6,9,0,6,5
C06,2020-06-20-11-25-00,36229226.3,9,2,2,6,2,9,7,7
C08,2020-06-20-11-25-00,36196967.75,6,9,6,7,7,5,0,7
C09,2020-06-20-11-25-00,37713206.84,3,2,0,6,8,3,6,6
C13,2020-06-20-11-25-00,36134239.61,4,2,3,9,6,0,9,7
C14,2020-06-20-11-25-00,25765317.16,5,3,1,7,1,5,6,4
C16,2020-06-20-11-25-00,36628392.54,8,3,9,2,5,3,9,7
C24,2020-06-20-11-25-00,26659374.79,9,3,7,4,7,8,9,5
C25,2020-06-20-11-25-00,26157195.95,7,1,9,5,9,4,5,6
C27,2020-06-20-11-25-00,22203294.16,3,2,9,4,1,5,6,8
C28,2020-06-20-11-25-00,22544514.18,4,5,1,4,1,8,0,8
G02,2020-06-20-11-25-00,21902207.58,2,2,0,7,5,7,8,7
G05,2020-06-20-11-25-00,21405970.5,5,9,7,0,5,0,0,7
G06,2020-06-20-11-25-00,25032165.01,2,1,6,5,0,0,8,5
G13,2020-06-20-11-25-00,20187515.06,7,5,1,5,0,6,3,8
G15,2020-06-20-11-25-00,20738405.81,8,4,0,5,8,0,5,7
G18,2020-06-20-11-25-00,24043218.7,3,2,1,8,7,0,3,5
G29,2020-06-20-11-25-00,21322477.48,2,4,7,7,4,8,4,7
G30,2020-06-20-11-25-00,24143858.48,3,8,5,8,4,7,7,6
C01,2020-06-20-11-30-00,37800222.34,0,2,2,2,3,4,4,6
C02,2020-06-20-11-30-00,37478264.75,8,2,6,4,7,5,0,6
C03,2020-06-20-11-30-00,36507319.91,7,3,1,9,9,1,4,7
C04,2020-06-20-11-30-00,38700245.44,0,2,4,5,4,3,8,6
C05,2020-06-20-11-30-00,39539988.08,9,9,8,8,0,7,8,5
C06,2020-06-20-11-30-00,36199877.64,9,8,7,7,6,4,1,7
C08,2020-06-20-11-30-00,36176160.88,6,1,6,0,8,8,3,7
C09,2020-06-20-11-30-00,37655736.46,5,7,3,6,4,6,1,6
C13,2020-06-20-11-30-00,36099162.89,9,1,6,2,8,9,1,7
C16,2020-06-20-11-30-00,36589360.19,9,3,6,0,1,8,8,8
C24,2020-06-20-11-30-00,26606886.95,6,8,8,6,9,4,5,4
C25,2020-06-20-11-30-00,26030949.41,0,9,4,9,4,0,6,5
C27,2020-06-20-11-30-00,22155584.63,5,5,8,4,6,3,3,8
C28,2020-06-20-11-30-00,22672594.07,2,5,9,4,0,7,0,8
G02,2020-06-20-11-30-00,21999312.84,9,3,1,2,8,3,6,7
G05,2020-06-20-11-30-00,21489695.3,9,6,9,5,2,9,7,7
G13,2020-06-20-11-30-00,20178282.68,8,2,8,2,6,8,0,8
G15,2020-06-20-11-30-00,20625539.96,5,5,3,9,9,6,1,8
G18,2020-06-20-11-30-00,23864261.79,4,2,6,1,7,8,9,6
G29,2020-06-20-11-30-00,21325951.77,5,9,5,1,7,6,6,7
G30,2020-06-20-11-30-00,24150344.49,0,3,4,4,4,9,2,6
C01,2020-06-20-11-35-00,37800009.83,0,0,0,9,8,2,8,6
C02,2020-06-20-11-35-00,37477932.92,7,9,3,2,9,2,2,6
C03,2020-06-20-11-35-00,36509286.7,9,2,8,6,6,9,5,7
C04,2020-06-20-11-35-00,38701647.49,1,6,4,7,4,9,2,6
C06,2020-06-20-11-35-00,36172933.28,2,9,3,3,2,8,1,7
C08,2020-06-20-11-35-00,36156543.33,6,5,4,3,3,2,8,7
C09,2020-06-20-11-35-00,37600300.25,0,3,0,0,2,5,0,7
C13,2020-06-20-11-35-00,36064459.2,4,4,5,9,2,0,3,7
C16,2020-06-20-11-35-00,36552869.46,2,8,6,9,4,6,1,7
C24,2020-06-20-11-35-00,26560736.66,0,7,3,6,6,5,6,4
C25,2020-06-20-11-35-00,25905250.48,5,2,5,0,4,7,7,6
C27,2020-06-20-11-35-00,22117045.12,7,0,4,5,1,1,7,8
C28,2020-06-20-11-35-00,22807544.54,7,5,4,4,5,3,9,8
C30,2020-06-20-11-35-00,25654507.31,4,5,0,7,3,1,3,5
G02,2020-06-20-11-35-00,22103436.88,3,4,3,6,8,8,3,7
G05,2020-06-20-11-35-00,21575454.93,5,4,5,4,9,3,0,7
G13,2020-06-20-11-35-00,20180305.53,0,3,0,5,5,3,1,8
G15,2020-06-20-11-35-00,20521971.99,1,9,7,1,9,9,2,8
G18,2020-06-20-11-35-00,23685365.34,5,3,6,5,3,3,6,6
G29,2020-06-20-11-35-00,21340998.13,0,9,9,8,1,3,3,7
G30,2020-06-20-11-35-00,24165808.58,5,8,0,8,5,7,8,6
C01,2020-06-20-11-40-00,37799780.06,9,7,8,0,0,6,3,6
C02,2020-06-20-11-40-00,37477650.83,7,6,5,0,8,2,8,6
C03,2020-06-20-11-40-00,36511280.42,1,2,8,0,4,2,2,7
C04,2020-06-20-11-40-00,38703043.55,3,0,4,3,5,4,7,6
C05,2020-06-20-11-40-00,39539633.31,9,6,3,3,3,1,3,5
C06,2020-06-20-11-40-00,36148368.88,8,3,6,8,8,7,5,7
C08,2020-06-20-11-40-00,36138227.34,8,2,2,7,3,4,4,7
C09,2020-06-20-11-40-00,37546928.15,6,9,2,8,1,4,8,6
C13,2020-06-20-11-40-00,36030233.96,0,2,3,3,9,6,1,7
C14,2020-06-20-11-40-00,26183910.15,3,9,1,0,1,4,8,4
C16,2020-06-20-11-40-00,36518906.73,8,9,0,6,7,2,7,7
C24,2020-06-20-11-40-00,26521232.41,1,2,3,2,4,0,6,5
C25,2020-06-20-11-40-00,25780568.2,0,5,6,8,1,9,5,6
C27,2020-06-20-11-40-00,22087843.78,7,8,4,3,7,8,1,8
C28,2020-06-20-11-40-00,22949027.16,9,0,2,7,1,6,4,8
C30,2020-06-20-11-40-00,25494876.37,4,8,7,6,3,6,7,5
G02,2020-06-20-11-40-00,22214535.38,4,5,3,5,3,7,5,7
G05,2020-06-20-11-40-00,21663163.13,3,1,6,3,1,2,5,7
G13,2020-06-20-11-40-00,20193466.18,3,4,6,6,1,8,0,8
G15,2020-06-20-11-40-00,20427876.61,7,8,7,6,6,0,9,8
G18,2020-06-20-11-40-00,23506851.51,6,8,5,1,5,0,8,6
G29,2020-06-20-11-40-00,21367502.81,7,5,0,2,8,0,5,7
G30,2020-06-20-11-40-00,24190349.53,0,3,4,9,5,3,1,6
C01,2020-06-20-11-45-00,37799534.24,9,5,3,4,2,4,2,6
C02,2020-06-20-11-45-00,37477418.07,7,4,1,8,0,7,0,6
C03,2020-06-20-11-45-00,36513300.26,3,3,0,0,2,5,8,7
C04,2020-06-20-11-45-00,38704430.91,4,4,3,0,9,0,6,6
C05,2020-06-20-11-45-00,39539509.09,9,5,0,9,0,8,6,5
C06,2020-06-20-11-45-00,36126153.66,6,1,5,3,6,6,4,7
C08,2020-06-20-11-45-00,36121322.13,1,3,2,2,1,2,5,7
C09,2020-06-20-11-45-00,37495651.82,5,6,5,1,8,2,0,6
C13,2020-06-20-11-45-00,35996593.15,6,5,9,3,1,4,8,7
C16,2020-06-20-11-45-00,36487451.99,7,4,5,1,9,9,2,8
C24,2020-06-20-11-45-00,26488652.13,8,6,5,2,1,3,3,5
C25,2020-06-20-11-45-00,25657374.06,7,3,7,4,0,6,3,6
C27,2020-06-20-11-45-00,22068115.64,8,1,1,5,6,4,1,8
C28,2020-06-20-11-45-00,23096683.52,6,6,8,3,5,1,6,8
C30,2020-06-20-11-45-00,25339807.62,9,8,0,7,6,1,7,6
G02,2020-06-20-11-45-00,22332539.64,2,5,3,9,6,4,1,7
G05,2020-06-20-11-45-00,21752750.76,2,7,5,0,7,5,8,7
G13,2020-06-20-11-45-00,20217599.06,7,5,9,9,0,5,5,8
G15,2020-06-20-11-45-00,20343390.12,3,3,9,0,1,1,7,8
G18,2020-06-20-11-45-00,23329058.48,9,0,5,8,4,7,7,6
G24,2020-06-20-11-45-00,24938685.58,8,6,8,5,5,7,8,5
G29,2020-06-20-11-45-00,21405297.02,5,2,9,7,0,1,6,8
G30,2020-06-20-11-45-00,24224021.15,4,0,2,1,1,4,8,6
C01,2020-06-20-11-50-00,37799271.62,9,2,7,1,6,1,7,6
C02,2020-06-20-11-50-00,37477235.02,7,2,3,5,0,2,3,6
C03,2020-06-20-11-50-00,36515345.33,5,3,4,5,3,2,8,7
C04,2020-06-20-11-50-00,38705811.46,5,8,1,1,4,6,1,6
C05,2020-06-20-11-50-00,39539418.76,9,4,1,8,7,5,8,5
C06,2020-06-20-11-50-00,36106253.13,6,2,5,3,1,3,3,7
C08,2020-06-20-11-50-00,36105935.45,5,9,3,5,4,4,5,7
C09,2020-06-20-11-50-00,37446493.59,6,4,9,3,5,8,6,6
C13,2020-06-20-11-50-00,35963644.67,3,6,4,4,6,7,2,7
C16,2020-06-20-11-50-00,36458480.66,8,4,8,0,6,5,6,7
C24,2020-06-20-11-50-00,26463250.85,3,2,5,0,8,5,2,5
C25,2020-06-20-11-50-00,25536147.52,6,1,4,7,5,2,3,6
C27,2020-06-20-11-50-00,22057960.1,7,9,6,0,1,0,2,8
C28,2020-06-20-11-50-00,23250136.4,0,1,3,6,3,9,8,7
C30,2020-06-20-11-50-00,25189707.91,9,7,0,7,9,0,6,6
G02,2020-06-20-11-50-00,22457348.42,7,3,4,8,4,2,2,7
G05,2020-06-20-11-50-00,21844159.2,4,1,5,9,1,9,5,7
G13,2020-06-20-11-50-00,20252495.13,2,4,9,5,1,3,3,8
G15,2020-06-20-11-50-00,20268610.96,8,6,1,0,9,6,1,8
G18,2020-06-20-11-50-00,23152344.23,2,3,4,4,2,2,7,6
G24,2020-06-20-11-50-00,24741647.32,1,6,4,7,3,2,0,4
G29,2020-06-20-11-50-00,21454161.84,4,1,6,1,8,3,6,7
G30,2020-06-20-11-50-00,24266842.13,6,8,4,2,1,2,5,6
C01,2020-06-20-11-55-00,37798992.98,8,9,9,2,9,8,4,6
C02,2020-06-20-11-55-00,37477102.01,7,1,0,2,0,0,8,6
C03,2020-06-20-11-55-00,36517415.01,7,4,1,5,0,0,8,7
C04,2020-06-20-11-55-00,38707184.21,7,1,8,4,2,1,1,6
C05,2020-06-20-11-55-00,39539365.52,9,3,6,5,5,2,3,5
C06,2020-06-20-11-55-00,36088628.32,8,6,2,8,3,2,0,7
C08,2020-06-20-11-55-00,36092175.42,2,1,7,5,4,2,2,7
C09,2020-06-20-11-55-00,37399473.95,9,4,7,3,9,4,5,6
C13,2020-06-20-11-55-00,35931496.32,1,4,9,6,3,2,0,7
C16,2020-06-20-11-55-00,36431964.48,1,9,6,4,4,8,4,8
C24,2020-06-20-11-55-00,26445258.31,5,2,5,8,3,1,3,5
C25,2020-06-20-11-55-00,25417361.49,7,3,6,1,4,9,2,6
C27,2020-06-20-11-55-00,22057439.64,7,4,3,9,6,4,1,8
C28,2020-06-20-11-55-00,23408996.39,8,9,9,6,3,9,1,7
C30,2020-06-20-11-55-00,25044978.69,4,9,7,8,6,8,8,6
G02,2020-06-20-11-55-00,22588836.44,8,8,3,6,4,3,8,7
G05,2020-06-20-11-55-00,21937345.82,7,3,4,5,8,2,0,7
G13,2020-06-20-11-55-00,20297904.06,7,9,0,4,0,6,3,8
G15,2020-06-20-11-55-00,20203602.27,3,6,0,2,2,7,3,8
G18,2020-06-20-11-55-00,22977086.48,7,0,8,6,4,8,4,6
G24,2020-06-20-11-55-00,24542218.59,2,2,1,8,5,8,6,5
G29,2020-06-20-11-55-00,21513829.2,3,8,2,9,1,9,5,7
G30,2020-06-20-11-55-00,24318788.84,8,7,8,8,8,3,6,5
C01,2020-06-20-12-00-00,37798697.75,8,6,9,7,7,5,0,6
C02,2020-06-20-12-00-00,37477018.98,7,0,1,8,9,7,7,6
C03,2020-06-20-12-00-00,36519505.99,9,5,0,5,9,9,2,7
C04,2020-06-20-12-00-00,38708547.89,8,5,4,7,8,9,1,6
C06,2020-06-20-12-00-00,36073236.13,3,2,3,6,1,2,5,7
C08,2020-06-20-12-00-00,36080147.21,0,1,4,7,2,1,1,7
C09,2020-06-20-12-00-00,37354605.82,4,6,0,5,8,2,0,7
C13,2020-06-20-12-00-00,35900257.13,0,2,5,7,1,2,5,7
C16,2020-06-20-12-00-00,36407868.05,7,8,6,8,0,4,7,8
C24,2020-06-20-12-00-00,26434874.9,4,8,7,4,8,9,8,4
C25,2020-06-20-12-00-00,25301495.67,1,4,9,5,6,7,2,6
C27,2020-06-20-12-00-00,22066578.6,6,5,7,8,6,0,2,8
C28,2020-06-20-12-00-00,23572857.14,2,8,5,7,1,4,1,7
C30,2020-06-20-12-00-00,24906016.17,6,0,1,6,1,7,2,6
G02,2020-06-20-12-00-00,22726848.41,6,8,4,8,4,1,4,7
G05,2020-06-20-12-00-00,22032278.97,2,2,7,8,9,6,9,7
G13,2020-06-20-12-00-00,20353533.4,3,5,3,3,3,9,8,8
G15,2020-06-20-12-00-00,20148385.08,8,3,8,5,0,7,8,8
G18,2020-06-20-12-00-00,22803678.41,3,6,7,8,4,1,4,6
G20,2020-06-20-12-00-00,24774045.55,4,0,4,5,5,4,7,5
G24,2020-06-20-12-00-00,24340883.15,0,8,8,3,1,4,8,6
G29,2020-06-20-12-00-00,21583980.41,3,9,8,0,4,0,6,7
G30,2020-06-20-12-00-00,24379797.63,9,7,9,7,6,2,5,5
C01,2020-06-20-12-05-00,37798386.47,8,3,8,6,4,6,9,6
C02,2020-06-20-12-05-00,37476986.04,6,9,8,6,0,3,9,6
C03,2020-06-20-12-05-00,36521621.15,1,6,2,1,1,4,8,7
C04,2020-06-20-12-05-00,38709901.77,9,9,0,1,7,6,6,6
C05,2020-06-20-12-05-00,39539363.71,9,3,6,3,7,1,1,5
C06,2020-06-20-12-05-00,36060029.02,0,0,2,9,0,2,3,7
C08,2020-06-20-12-05-00,36069953.36,9,9,5,3,3,5,9,7
C09,2020-06-20-12-05-00,37311898.49,1,8,9,8,4,9,2,7
C13,2020-06-20-12-05-00,35870037.49,0,0,3,7,4,9,2,8
C16,2020-06-20-12-05-00,36386152.77,6,1,5,2,7,6,6,8
C24,2020-06-20-12-05-00,26432265.46,2,2,6,5,4,6,1,4
C25,2020-06-20-12-05-00,25189022.97,9,0,2,2,9,6,9,6
C27,2020-06-20-12-05-00,22085364.28,5,3,6,4,2,8,1,8
C28,2020-06-20-12-05-00,23741300.83,1,3,0,0,8,2,8,7
C30,2020-06-20-12-05-00,24773204.19,3,2,0,4,1,8,8,6
G02,2020-06-20-12-05-00,22871202.95,1,2,0,2,9,4,5,7
G05,2020-06-20-12-05-00,22128940.03,8,9,4,0,0,3,1,7
G13,2020-06-20-12-05-00,20419058.46,9,0,5,8,4,6,1,8
G15,2020-06-20-12-05-00,20102945.51,2,9,4,5,5,0,8,8
G18,2020-06-20-12-05-00,22632532.94,2,5,3,2,9,3,8,7
G20,2020-06-20-12-05-00,24636068.47,6,0,6,8,4,6,9,5
G24,2020-06-20-12-05-00,24138137.04,8,1,3,7,0,3,9,6
G29,2020-06-20-12-05-00,21664256.99,4,2,5,6,9,9,2,7
G30,2020-06-20-12-05-00,24449768.44,9,7,6,8,4,3,8,5
C01,2020-06-20-12-10-00,37798059.83,8,0,5,9,8,2,8,6
C02,2020-06-20-12-10-00,37477003.72,7,0,0,3,7,1,9,6
C03,2020-06-20-12-10-00,36523757.37,3,7,5,7,3,6,7,7
C04,2020-06-20-12-10-00,38711245.46,1,2,4,5,4,6,1,6
C06,2020-06-20-12-10-00,36048955.74,8,9,5,5,7,4,2,7
C08,2020-06-20-12-10-00,36061696.56,1,6,9,6,5,6,3,7
C09,2020-06-20-12-10-00,37271357.56,1,3,5,7,5,6,3,6
C13,2020-06-20-12-10-00,35840945.84,0,9,4,5,8,3,6,8
C16,2020-06-20-12-10-00,36366776.44,6,7,7,6,4,3,8,8
C24,2020-06-20-12-10-00,26437578.13,7,5,7,8,1,3,3,5
C25,2020-06-20-12-10-00,25080411.97,0,4,1,1,9,6,9,6
C27,2020-06-20-12-10-00,22113745.75,3,7,4,5,7,5,0,8
C28,2020-06-20-12-10-00,23913902.88,3,9,0,2,8,8,3,7
C30,2020-06-20-12-10-00,24646916.54,6,9,1,6,5,3,9,7
G02,2020-06-20-12-10-00,23021694.76,1,6,9,4,7,5,8,6
G05,2020-06-20-12-10-00,22227320.27,7,3,2,0,2,6,6,7
G13,2020-06-20-12-10-00,20494119.97,4,1,1,9,9,6,9,8
G15,2020-06-20-12-10-00,20067230.59,7,2,3,0,5,9,4,8
G18,2020-06-20-12-10-00,22464074.13,4,0,7,4,1,3,3,7
G20,2020-06-20-12-10-00,24497727.48,7,7,2,7,4,8,4,5
G24,2020-06-20-12-10-00,23934497.57,4,4,9,7,5,7,0,6
G29,2020-06-20-12-10-00,21754253.73,4,2,5,3,7,3,4,7
G30,2020-06-20-12-10-00,24528562.67,8,5,6,2,6,7,2,5
C01,2020-06-20-12-15-00,37797717.39,7,7,1,7,3,9,1,6
C02,2020-06-20-12-15-00,37477071.01,7,0,7,1,0,0,8,6
C03,2020-06-20-12-15-00,36525913.43,5,9,1,3,4,3,0,7
C04,2020-06-20-12-15-00,38712578,2,5,7,8,0,0,0,6
C06,2020-06-20-12-15-00,36039960.91,9,9,6,0,9,1,4,7
C08,2020-06-20-12-15-00,36055473.7,5,4,7,3,7,0,3,7
C09,2020-06-20-12-15-00,37232983.56,2,9,8,3,5,6,3,7
C13,2020-06-20-12-15-00,35813091.81,3,0,9,1,8,0,5,8
C16,2020-06-20-12-15-00,36349690.41,9,6,9,0,4,0,6,8
C23,2020-06-20-12-15-00,26189027.06,9,0,2,7,0,5,5,5
C25,2020-06-20-12-15-00,24976126.31,6,1,2,6,3,1,3,6
C27,2020-06-20-12-15-00,22151631.85,1,6,3,1,8,5,2,8
C28,2020-06-20-12-15-00,24090227.53,0,2,2,7,5,3,1,7
C30,2020-06-20-12-15-00,24527512.14,7,5,1,2,1,4,1,6
G02,2020-06-20-12-15-00,23178092.37,8,0,9,2,3,6,7,7
G05,2020-06-20-12-15-00,22327423.24,7,4,2,3,2,4,2,7
G13,2020-06-20-12-15-00,20578330.45,8,3,3,0,4,5,3,8
G15,2020-06-20-12-15-00,20041150.79,1,1,5,0,7,8,9,8
G18,2020-06-20-12-15-00,22298744.2,8,7,4,4,1,9,5,7
G20,2020-06-20-12-15-00,24359007.11,9,0,0,7,1,0,9,5
G24,2020-06-20-12-15-00,23730496.56,0,4,9,6,5,6,3,6
G29,2020-06-20-12-15-00,21853530.91,3,5,3,0,9,1,4,7
