C04	2020-06-20-00-20-00	-3958432.675	1450953.06	28307.8903	38654959.63	-0.000156139
C05	2020-06-20-00-20-00	2192277.032	3598507.408	-109734.8623	39695889.23	-0.000487088
C06	2020-06-20-00-20-00	-1119671.838	3694265.489	-1603909.902	38119000.47	0.000758494
C07	2020-06-20-00-20-00	-1268111.585	2312473.623	3308233.922	36435992.52	3.26334E-05
C08	2020-06-20-00-20-00	-2558562.38	2851477.62	-1790129.576	39364738.63	-0.000322223
C09	2020-06-20-00-20-00	-140131.6922	4191400.75	-15620.1169	36887447.37	0.000621528
C10	2020-06-20-00-20-00	425747.0662	2874398.988	3086149.631	37095632.74	-0.000257858
C12	2020-06-20-00-20-00	-88995.5422	2670699.246	-806383.1483	24378132.83	0.000406142
C16	2020-06-20-00-20-00	-903613.5797	3852418.424	-1420919.694	38563398.31	-0.000614073
C24	2020-06-20-00-20-00	975171.7852	1364107.393	2230272.334	24391902.88	-0.000787237
C26	2020-06-20-00-20-00	-970600.7393	1759886.316	1936925.339	21567367.3	0.000724518
C29	2020-06-20-00-20-00	-1529253.995	-440774.6334	2291278.718	25337969.23	0.000244808
G01	2020-06-20-00-20-00	-1080607.002	1970771.734	-1410578.231	24266637.32	1.26227E-05
G04	2020-06-20-00-20-00	-73300.9451	2618021.293	-429877.7308	22555185.13	-0.000104623
G07	2020-06-20-00-20-00	729058.4279	1381634.533	2176006.619	22741583.32	-0.000308426
G08	2020-06-20-00-20-00	-748818.2265	2058135.783	1485260.588	20138084.77	-3.81453E-05
G09	2020-06-20-00-20-00	810176.0543	2438173.406	665344.5516	22321193.74	-0.000239364
G11	2020-06-20-00-20-00	-1155471.67	2410884.574	-42491.0428	21620215.3	-0.000243952
G16	2020-06-20-00-20-00	-1903704.06	363644.774	1814252.44	22532014.3	-0.000172568
G21	2020-06-20-00-20-00	-1610343.198	-581886.0888	2101236.172	24992203.56	1.3719E-05
G26	2020-06-20-00-20-00	-2517408.283	-351763.3914	805134.7166	24833676.52	0.000228532
G27	2020-06-20-00-20-00	-1275464.901	1036963.501	2063859.092	21119274.34	-0.000324983
C01	2020-06-20-00-25-00	-3435297.148	2447987.702	62952.3217	37732832.16	-0.000402403
C02	2020-06-20-00-25-00	441612.6056	4190121.702	-141544.9056	37703382.41	0.000270948
C03	2020-06-20-00-25-00	-1470151.795	3949006.508	-68524.7344	36605240.34	0.000855627
C04	2020-06-20-00-25-00	-3958397.481	1450926.271	29501.6322	38653644.89	-0.000156132
C05	2020-06-20-00-25-00	2192191.322	3598535.476	-109870.1603	39695737.89	-0.000487108
C06	2020-06-20-00-25-00	-1087719.419	3674159.791	-1669734.527	38215224.03	0.000758497
C07	2020-06-20-00-25-00	-1300017.409	2299947.159	3303763.478	36429781.95	3.2624E-05
C08	2020-06-20-00-25-00	-2555440.136	2896953.279	-1721001.152	39255234.04	-0.00032223
C09	2020-06-20-00-25-00	-102382.4714	4191066.475	-90994.7768	36971188.55	0.000621536
C10	2020-06-20-00-25-00	401676.5502	2849584.383	3111753.913	37087678.3	-0.000257855
C12	2020-06-20-00-25-00	-95914.2813	2695960.795	-716928.0827	24203087.24	0.000406145
C16	2020-06-20-00-25-00	-868971.15	3834373.583	-1489564.044	38664538.2	-0.00061407
C24	2020-06-20-00-25-00	902056.1135	1387608.777	2246524.954	24252497.19	-0.000787234
C26	2020-06-20-00-25-00	-1033495.587	1778551.568	1886773.164	21533509.68	0.000724522
C29	2020-06-20-00-25-00	-1513928.704	-517761.8342	2285355.163	25510355.89	0.00024481
G01	2020-06-20-00-25-00	-1125065.012	1997251.746	-1334346.244	24055617.87	1.26251E-05
G04	2020-06-20-00-25-00	-83525.4565	2600722.698	-522794.394	22715184.95	-0.000104624
G07	2020-06-20-00-25-00	663494.1514	1428737.756	2164940.885	22571228.6	-0.000308428
G08	2020-06-20-00-25-00	-763211.2978	2001523.909	1554502.859	20157776.32	-3.81456E-05
G09	2020-06-20-00-25-00	804785.2002	2463070.62	574609.5601	22392685.3	-0.000239366
G11	2020-06-20-00-25-00	-1165616.501	2403986.833	48871.5451	21467359.74	-0.000243949
G16	2020-06-20-00-25-00	-1963061.134	328795.1731	1758748.982	22644351.16	-0.000172569
G26	2020-06-20-00-25-00	-2541557.821	-370041.8188	717292.7307	24964811.3	0.000228534
G27	2020-06-20-00-25-00	-1288684.231	957701.6376	2094496.09	21253879.89	-0.000324986
C01	2020-06-20-00-30-00	-3435228.054	2448051.379	62115.789	37733146.95	-0.000402393
C02	2020-06-20-00-30-00	441532.646	4190146.238	-141207.135	37703068.27	0.00027094
C03	2020-06-20-00-30-00	-1470221.887	3948947.397	-66593.9824	36602884.3	0.000855623
C04	2020-06-20-00-30-00	-3958362.985	1450897.765	30681.3058	38652347.19	-0.000156126
C05	2020-06-20-00-30-00	2192105.888	3598565.588	-109952.835	39695547.22	-0.000487128
C06	2020-06-20-00-30-00	-1056664.216	3652628.807	-1734738.794	38312036.8	0.0007585
C07	2020-06-20-00-30-00	-1332446.537	2288839.151	3297727.416	36422604.83	3.26147E-05
C08	2020-06-20-00-30-00	-2550342.469	2942261.406	-1651056.343	39146053.08	-0.000322237
C09	2020-06-20-00-30-00	-64683.9471	4189047.948	-166325.1456	37057057.98	0.000621543
C10	2020-06-20-00-30-00	376547.1247	2825867.496	3135892.124	37078737.81	-0.000257852
C12	2020-06-20-00-30-00	-101678.2728	2718342.546	-626290.3074	24032239.24	0.000406149
C16	2020-06-20-00-30-00	-835147.904	3814814.78	-1557489.292	38766355.38	-0.000614068
C24	2020-06-20-00-30-00	828945.6675	1412682.714	2259068.636	24113993.41	-0.00078723
C26	2020-06-20-00-30-00	-1094349.934	1797841.965	1833508.896	21504900.6	0.000724526
C29	2020-06-20-00-30-00	-1500196.586	-594777.2443	2275656.334	25684970.08	0.000244811
G01	2020-06-20-00-30-00	-1166761.608	2022732.955	-1255549.01	23844079.19	1.26276E-05
G04	2020-06-20-00-30-00	-94458.4947	2580140.659	-614707.7622	22879178.94	-0.000104626
G07	2020-06-20-00-30-00	599087.4673	1476698.406	2149829.308	22404189.1	-0.000308431
G08	2020-06-20-00-30-00	-779019.6195	1942658.08	1620737.451	20186479.28	-3.81456E-05
G09	2020-06-20-00-30-00	799252.3134	2484659.311	482771.9717	22472823.76	-0.000239368
G11	2020-06-20-00-30-00	-1174493.71	2394135.126	140142.1997	21321479.05	-0.000243946
